id,question,options,answer,explanation,category
1,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
2,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
3,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
4,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
5,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
6,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
7,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
8,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
9,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
10,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
11,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
12,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
13,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
14,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
15,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
16,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
17,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
18,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
19,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
20,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
21,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
22,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
23,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
24,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
25,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
26,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
27,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
28,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
29,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
30,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
31,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
32,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
33,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
34,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
35,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
36,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
37,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
38,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
39,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
40,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
41,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
42,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
43,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
44,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
45,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
46,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
47,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
48,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
49,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
50,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
51,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
52,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
53,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
54,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
55,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
56,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
57,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
58,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
59,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
60,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
61,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
62,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
63,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
64,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
65,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
66,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
67,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
68,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
69,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
70,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
71,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
72,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
73,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
74,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
75,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
76,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
77,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
78,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
79,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
80,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
81,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
82,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
83,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
84,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
85,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
86,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
87,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
88,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
89,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
90,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
91,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
92,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
93,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
94,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
95,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
96,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
97,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
98,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
99,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
100,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
